date,product,type,amount,price,shares,fee,notes
2020-02-22,002611,buy,10.00,1.2952,7.72,0.00,
2020-03-23,002611,buy,5.00,1.168,4.28,0.00,
2020-04-09,002611,sell,7.27,1.2754,5.7,0.00,
2024-04-18,002611,buy,200.00,1.852,107.99,0.00,
2026-02-13,002611,buy,10000.00,3.4845,2869.85,0.00,
2026-03-23,002611,buy,5000.00,2.9217,1711.33,0.00,
2026-03-30,002611,sell,3725.83,3.174,1173.86,0.00,
2026-04-01,002611,sell,5801.90,3.295,1760.82,0.00,
2026-04-08,002611,sell,1465.79,3.3327,440.21,1.30,
2026-04-16,002611,sell,600.26,3.3274,180.58,0.60,
