date,product,type,amount,price,shares,fee,notes
2026-03-27,270042,buy,10.0,6.5885,1.52,0.01,广发纳斯达克100ETF联接(QDII)A 每周定投
2026-04-03,270042,buy,10.0,6.8259,1.46,0.01,广发纳斯达克100ETF联接(QDII)A 每周定投
2026-04-10,270042,buy,10.0,7.0995,1.41,0.01,广发纳斯达克100ETF联接(QDII)A 每周定投
2026-04-17,270042,buy,10.0,7.5344,1.33,0.01,广发纳斯达克100ETF联接(QDII)A 每周定投
2026-04-24,270042,buy,10.0,7.7135,1.3,0.01,广发纳斯达克100ETF联接(QDII)A 每周定投
2026-05-08,270042,buy,10.0,8.2334,1.21,0.01,广发纳斯达克100ETF联接(QDII)A 每日定投
2026-05-11,270042,buy,10.0,8.2533,1.21,0.01,广发纳斯达克100ETF联接(QDII)A 每日定投
2026-05-12,270042,buy,10.0,8.1765,1.22,0.01,广发纳斯达克100ETF联接(QDII)A 每日定投
2026-05-13,270042,buy,10.0,8.2621,1.21,0.01,广发纳斯达克100ETF联接(QDII)A 每日定投
2026-05-14,270042,buy,10.0,8.3191,1.2,0.01,广发纳斯达克100ETF联接(QDII)A 每日定投
2026-05-15,270042,buy,10.0,8.1939,1.22,0.01,广发纳斯达克100ETF联接(QDII)A 每日定投
2026-05-18,270042,buy,10.0,8.1598,1.22,0.01,广发纳斯达克100ETF联接(QDII)A 每日定投
2026-05-19,270042,buy,10.0,8.1029,1.23,0.01,广发纳斯达克100ETF联接(QDII)A 每日定投
2026-05-20,270042,buy,10.0,8.2382,1.21,0.01,广发纳斯达克100ETF联接(QDII)A 每日定投
2026-05-21,270042,buy,10.0,8.2497,1.21,0.01,广发纳斯达克100ETF联接(QDII)A 每日定投
2026-05-22,270042,buy,10.0,8.2866,1.21,0.01,广发纳斯达克100ETF联接(QDII)A 每日定投
2026-05-25,270042,buy,10.0,8.2801,1.21,0.01,广发纳斯达克100ETF联接(QDII)A 每日定投
2026-05-26,270042,buy,10.0,8.4202,1.19,0.01,广发纳斯达克100ETF联接(QDII)A 每日定投
2026-05-27,270042,buy,10.0,8.4132,1.19,0.01,广发纳斯达克100ETF联接(QDII)A 每日定投
2026-05-28,270042,buy,10.0,8.4773,1.18,0.01,广发纳斯达克100ETF联接(QDII)A 每日定投
2026-05-29,270042,buy,10.0,8.5006,1.18,0.01,广发纳斯达克100ETF联接(QDII)A 每日定投
2026-06-01,270042,buy,10.0,8.5489,1.17,0.01,广发纳斯达克100ETF联接(QDII)A 每日定投
2026-06-02,270042,buy,10.0,8.5927,1.16,0.01,广发纳斯达克100ETF联接(QDII)A 每日定投
2026-06-03,270042,buy,10.0,8.5667,1.17,0.01,广发纳斯达克100ETF联接(QDII)A 每日定投
2026-06-04,270042,buy,10.0,8.5243,1.17,0.01,广发纳斯达克100ETF联接(QDII)A 每日定投
2026-06-05,270042,buy,10.0,8.1154,1.23,0.01,广发纳斯达克100ETF联接(QDII)A 每日定投
2026-06-08,270042,buy,10.0,8.2439,1.21,0.01,广发纳斯达克100ETF联接(QDII)A 每日定投
2026-06-09,270042,buy,10.0,8.1456,1.23,0.01,广发纳斯达克100ETF联接(QDII)A 每日定投
2026-06-10,270042,buy,10.0,7.9837,1.25,0.01,广发纳斯达克100ETF联接(QDII)A 每日定投
2026-06-11,270042,buy,10.0,8.2442,1.21,0.01,广发纳斯达克100ETF联接(QDII)A 每日定投
2026-06-12,270042,buy,10.0,8.292,1.2,0.01,广发纳斯达克100ETF联接(QDII)A 每日定投
2026-06-15,270042,buy,10.0,8.539,1.17,0.01,广发纳斯达克100ETF联接(QDII)A 每日定投
2026-06-16,270042,buy,10.0,8.3791,1.19,0.01,广发纳斯达克100ETF联接(QDII)A 每日定投
2026-06-17,270042,buy,10.0,8.2951,1.2,0.01,广发纳斯达克100ETF联接(QDII)A 每日定投
2026-06-18,270042,buy,10.0,8.5042,1.17,0.01,广发纳斯达克100ETF联接(QDII)A 每日定投
2026-06-22,270042,buy,10.0,8.49,1.18,0.01,广发纳斯达克100ETF联接(QDII)A 每日定投
2026-06-23,270042,buy,10.0,8.2111,1.22,0.01,广发纳斯达克100ETF联接(QDII)A 每日定投
2026-06-24,270042,buy,10.0,8.1772,1.22,0.01,广发纳斯达克100ETF联接(QDII)A 每日定投
2026-06-25,270042,buy,10.0,,,,广发纳斯达克100ETF联接(QDII)A 每日定投
2026-06-26,270042,buy,10.0,,,,广发纳斯达克100ETF联接(QDII)A 每日定投
2026-06-29,270042,buy,10.0,8.3281,1.2,0.01,广发纳斯达克100ETF联接(QDII)A 每日定投
2026-06-30,270042,buy,10.0,8.4599,1.18,0.01,广发纳斯达克100ETF联接(QDII)A 每日定投
2026-07-01,270042,buy,10.0,8.3245,1.2,0.01,广发纳斯达克100ETF联接(QDII)A 每日定投
2026-07-02,270042,buy,10.0,8.189,1.22,0.01,广发纳斯达克100ETF联接(QDII)A 每日定投
2026-07-03,270042,buy,10.0,8.1836,1.22,0.01,广发纳斯达克100ETF联接(QDII)A 每日定投
2026-07-06,270042,buy,10.0,8.2891,1.21,0.01,广发纳斯达克100ETF联接(QDII)A 每日定投
2026-07-07,270042,buy,10.0,8.1385,1.23,0.01,广发纳斯达克100ETF联接(QDII)A 每日定投
2026-07-08,270042,buy,10.0,,,,广发纳斯达克100ETF联接(QDII)A 每日定投
2026-07-09,270042,buy,10.0,,,,广发纳斯达克100ETF联接(QDII)A 每日定投
