date,product,type,amount,price,shares,fee,notes
2026-06-01,014143,buy,25.0,11.7417,2.13,0.0,银河创新成长混合C 每日定投
2026-06-02,014143,buy,25.0,11.9512,2.09,0.0,银河创新成长混合C 每日定投
2026-06-03,014143,buy,25.0,12.2788,2.04,0.0,银河创新成长混合C 每日定投
2026-06-04,014143,buy,25.0,12.4437,2.01,0.0,银河创新成长混合C 每日定投
2026-06-05,014143,buy,25.0,11.8306,2.11,0.0,银河创新成长混合C 每日定投
2026-06-08,014143,buy,25.0,11.2307,2.23,0.0,银河创新成长混合C 每日定投
2026-06-09,014143,buy,25.0,11.6972,2.14,0.0,银河创新成长混合C 每日定投
2026-06-10,014143,buy,25.0,11.5729,2.16,0.0,银河创新成长混合C 每日定投
2026-06-11,014143,buy,25.0,11.6257,2.15,0.0,银河创新成长混合C 每日定投
2026-06-12,014143,buy,25.0,11.7385,2.13,0.0,银河创新成长混合C 每日定投
2026-06-15,014143,buy,25.0,12.417,2.01,0.0,银河创新成长混合C 每日定投
2026-06-16,014143,buy,25.0,12.4428,2.01,0.0,银河创新成长混合C 每日定投
2026-06-17,014143,buy,25.0,13.0788,1.91,0.0,银河创新成长混合C 每日定投
2026-06-18,014143,buy,25.0,13.7029,1.82,0.0,银河创新成长混合C 每日定投
2026-06-22,014143,buy,25.0,13.9505,1.79,0.0,银河创新成长混合C 每日定投
2026-06-23,014143,buy,25.0,13.81,1.81,0.0,银河创新成长混合C 每日定投
2026-06-24,014143,buy,25.0,14.3798,1.74,0.0,银河创新成长混合C 每日定投
2026-06-25,014143,buy,25.0,14.8973,1.68,0.0,银河创新成长混合C 每日定投
2026-06-26,014143,buy,25.0,14.6055,1.71,0.0,银河创新成长混合C 每日定投
2026-06-29,014143,buy,25.0,15.1583,1.65,0.0,银河创新成长混合C 每日定投
2026-06-30,014143,buy,25.0,15.7191,1.59,0.0,银河创新成长混合C 每日定投
2026-07-01,014143,buy,25.0,15.3442,1.63,0.0,银河创新成长混合C 每日定投
2026-07-02,014143,buy,25.0,14.3247,1.75,0.0,银河创新成长混合C 每日定投
2026-07-03,014143,buy,25.0,14.2474,1.75,0.0,银河创新成长混合C 每日定投
2026-07-06,014143,buy,25.0,14.4567,1.73,0.0,银河创新成长混合C 每日定投
2026-07-07,014143,buy,25.0,14.3555,1.74,0.0,银河创新成长混合C 每日定投
2026-07-08,014143,buy,25.0,14.5802,1.71,0.0,银河创新成长混合C 每日定投
2026-07-09,014143,buy,25.0,15.8352,1.58,0.0,银河创新成长混合C 每日定投
2026-07-10,014143,buy,25.0,14.6814,1.7,0.0,银河创新成长混合C 每日定投
2026-07-13,014143,buy,25.0,14.1906,1.76,0.0,银河创新成长混合C 每日定投
2026-07-14,014143,buy,25.0,14.2828,1.75,0.0,银河创新成长混合C 每日定投
2026-07-15,014143,buy,25.0,13.7967,1.81,0.0,银河创新成长混合C 每日定投
2026-07-17,014143,buy,25.0,12.2408,2.04,0.0,银河创新成长混合C 每日定投
2026-07-20,014143,buy,25.0,,,,银河创新成长混合C 每日定投
