date,product,type,amount,price,shares,fee,notes
2026-03-27,016453,buy,50.0,1.8468,27.07,0.0,南方纳斯达克100指数发起(QDII)C 每周定投50
2026-04-02,016453,buy,20.0,1.9089,10.48,0.0,南方纳斯达克100指数发起(QDII)C 每周定投20
2026-04-03,016453,buy,50.0,1.9102,26.18,0.0,南方纳斯达克100指数发起(QDII)C 每周定投50
2026-04-09,016453,buy,20.0,1.9801,10.1,0.0,南方纳斯达克100指数发起(QDII)C 每周定投20
2026-04-10,016453,buy,50.0,1.9827,25.22,0.0,南方纳斯达克100指数发起(QDII)C 每周定投50
2026-04-16,016453,buy,20.0,2.0723,9.65,0.0,南方纳斯达克100指数发起(QDII)C 每周定投20
2026-04-17,016453,buy,50.0,2.0973,23.84,0.0,南方纳斯达克100指数发起(QDII)C 每周定投50
2026-04-23,016453,buy,20.0,2.1061,9.5,0.0,南方纳斯达克100指数发起(QDII)C 每周定投20
2026-04-24,016453,buy,50.0,2.1461,23.3,0.0,南方纳斯达克100指数发起(QDII)C 每周定投50
2026-04-30,016453,buy,20.0,2.1557,9.28,0.0,南方纳斯达克100指数发起(QDII)C 每周定投20
2026-05-07,016453,buy,20.0,2.2349,8.95,0.0,南方纳斯达克100指数发起(QDII)C 每周定投20
2026-05-08,016453,buy,50.0,2.2855,21.88,0.0,南方纳斯达克100指数发起(QDII)C 每周定投50
2026-05-12,016453,buy,20.0,2.2705,8.81,0.0,南方纳斯达克100指数发起(QDII)C 每日定投
2026-05-13,016453,buy,20.0,2.293,8.72,0.0,南方纳斯达克100指数发起(QDII)C 每日定投
2026-05-14,016453,buy,20.0,2.3077,8.67,0.0,南方纳斯达克100指数发起(QDII)C 每日定投
2026-05-15,016453,buy,20.0,2.2752,8.79,0.0,南方纳斯达克100指数发起(QDII)C 每日定投
2026-05-15,016453,buy,50.0,2.2752,21.98,0.0,南方纳斯达克100指数发起(QDII)C 每周定投50
2026-05-18,016453,buy,20.0,2.2667,8.82,0.0,南方纳斯达克100指数发起(QDII)C 每日定投
2026-05-19,016453,buy,20.0,2.2519,8.88,0.0,南方纳斯达克100指数发起(QDII)C 每日定投
2026-05-20,016453,buy,20.0,2.2882,8.74,0.0,南方纳斯达克100指数发起(QDII)C 每日定投
2026-05-21,016453,buy,20.0,2.2909,8.73,0.0,南方纳斯达克100指数发起(QDII)C 每日定投
2026-05-22,016453,buy,50.0,2.301,21.73,0.0,南方纳斯达克100指数发起(QDII)C 每周定投50
2026-05-22,016453,buy,20.0,2.301,8.69,0.0,南方纳斯达克100指数发起(QDII)C 每日定投
2026-05-25,016453,buy,20.0,2.299,8.7,0.0,南方纳斯达克100指数发起(QDII)C 每日定投
2026-05-26,016453,buy,20.0,2.3365,8.56,0.0,南方纳斯达克100指数发起(QDII)C 每日定投
2026-05-27,016453,buy,20.0,2.3346,8.57,0.0,南方纳斯达克100指数发起(QDII)C 每日定投
2026-05-28,016453,buy,20.0,2.3518,8.5,0.0,南方纳斯达克100指数发起(QDII)C 每日定投
2026-05-29,016453,buy,50.0,2.3579,21.21,0.0,南方纳斯达克100指数发起(QDII)C 每周定投50
2026-05-29,016453,buy,20.0,2.3579,8.48,0.0,南方纳斯达克100指数发起(QDII)C 每日定投
2026-06-01,016453,buy,20.0,2.3703,8.44,0.0,南方纳斯达克100指数发起(QDII)C 每日定投
2026-06-02,016453,buy,20.0,2.3821,8.4,0.0,南方纳斯达克100指数发起(QDII)C 每日定投
2026-06-03,016453,buy,20.0,2.3758,8.42,0.0,南方纳斯达克100指数发起(QDII)C 每日定投
2026-06-04,016453,buy,20.0,2.3653,8.46,0.0,南方纳斯达克100指数发起(QDII)C 每日定投
2026-06-05,016453,buy,20.0,2.2565,8.86,0.0,南方纳斯达克100指数发起(QDII)C 每日定投
2026-06-08,016453,buy,20.0,2.2912,8.73,0.0,南方纳斯达克100指数发起(QDII)C 每日定投
2026-06-09,016453,buy,20.0,2.2641,8.83,0.0,南方纳斯达克100指数发起(QDII)C 每日定投
