date,product,type,amount,price,shares,fee,notes
2026-06-10,016453,buy,20.0,2.22,9.01,0.0,南方纳斯达克100指数发起(QDII)C 每日定投
2026-06-11,016453,buy,20.0,2.2912,8.73,0.0,南方纳斯达克100指数发起(QDII)C 每日定投
2026-06-12,016453,buy,20.0,2.3044,8.68,0.0,南方纳斯达克100指数发起(QDII)C 每日定投
2026-06-15,016453,buy,20.0,2.3703,8.44,0.0,南方纳斯达克100指数发起(QDII)C 每日定投
2026-06-16,016453,buy,20.0,2.3272,8.59,0.0,南方纳斯达克100指数发起(QDII)C 每日定投
2026-06-17,016453,buy,20.0,2.3045,8.68,0.0,南方纳斯达克100指数发起(QDII)C 每日定投
2026-06-18,016453,buy,20.0,2.3612,8.47,0.0,南方纳斯达克100指数发起(QDII)C 每日定投
2026-06-22,016453,buy,20.0,2.3571,8.49,0.0,南方纳斯达克100指数发起(QDII)C 每日定投
2026-06-23,016453,buy,20.0,2.2816,8.77,0.0,南方纳斯达克100指数发起(QDII)C 每日定投
2026-06-24,016453,buy,20.0,2.2726,8.8,0.0,南方纳斯达克100指数发起(QDII)C 每日定投
2026-06-25,016453,buy,20.0,2.2896,8.74,0.0,南方纳斯达克100指数发起(QDII)C 每日定投
2026-06-26,016453,buy,20.0,2.2634,8.84,0.0,南方纳斯达克100指数发起(QDII)C 每日定投
2026-06-29,016453,buy,20.0,2.3138,8.64,0.0,南方纳斯达克100指数发起(QDII)C 每日定投
2026-06-30,016453,buy,20.0,2.3494,8.51,0.0,南方纳斯达克100指数发起(QDII)C 每日定投
2026-07-01,016453,buy,20.0,2.3127,8.65,0.0,南方纳斯达克100指数发起(QDII)C 每日定投
2026-07-02,016453,buy,20.0,2.2767,8.78,0.0,南方纳斯达克100指数发起(QDII)C 每日定投
2026-07-03,016453,buy,20.0,2.2753,8.79,0.0,南方纳斯达克100指数发起(QDII)C 每日定投
2026-07-06,016453,buy,20.0,2.3029,8.68,0.0,南方纳斯达克100指数发起(QDII)C 每日定投
2026-07-07,016453,buy,20.0,2.2625,8.84,0.0,南方纳斯达克100指数发起(QDII)C 每日定投
2026-07-08,016453,buy,20.0,2.2696,8.81,0.0,南方纳斯达克100指数发起(QDII)C 每日定投
2026-07-09,016453,buy,20.0,2.3041,8.68,0.0,南方纳斯达克100指数发起(QDII)C 每日定投
2026-07-10,016453,buy,20.0,2.31,8.66,0.0,南方纳斯达克100指数发起(QDII)C 每日定投
2026-07-13,016453,buy,20.0,2.2673,8.82,0.0,南方纳斯达克100指数发起(QDII)C 每日定投
2026-07-14,016453,buy,20.0,2.2916,8.73,0.0,南方纳斯达克100指数发起(QDII)C 每日定投
2026-07-15,016453,buy,20.0,2.2828,8.76,0.0,南方纳斯达克100指数发起(QDII)C 每日定投
2026-07-17,016453,buy,20.0,2.2168,9.02,0.0,南方纳斯达克100指数发起(QDII)C 每日定投
2026-07-20,016453,buy,20.0,,,,南方纳斯达克100指数发起(QDII)C 每日定投
2026-07-21,016453,buy,20.0,,,,南方纳斯达克100指数发起(QDII)C 每日定投
