date,product,type,amount,price,shares,fee,notes
2024-04-23,007540,buy,1000.0,1.0736,930.7,0.8,华泰保兴安悦债券A
2024-04-26,007540,buy,50.0,1.0523,47.48,0.04,华泰保兴安悦债券A
2024-04-29,007540,dividend,0.0,1.0451,3.99,0.0,红利再投资 华泰保兴安悦债券A
2024-04-30,007540,sell,1028.97,1.0487,981.67,0.51,华泰保兴安悦债券A
2024-06-05,007540,buy,269.32,1.0514,256.15,0.0,华泰保兴安悦债券A
2024-06-28,007540,dividend,0.0,1.0671,1.03,0.0,红利再投资
2024-07-31,007540,dividend,0.0,1.0765,1.02,0.0,红利再投资
2024-08-30,007540,dividend,0.0,1.0761,1.03,0.0,红利再投资
2024-09-27,007540,dividend,0.0,1.0767,1.04,0.0,红利再投资
2024-10-28,007540,dividend,0.0,1.0724,1.03,0.0,红利再投资
2024-11-29,007540,dividend,0.0,1.0988,1.02,0.0,红利再投资
2024-12-27,007540,dividend,0.0,1.1472,0.94,0.0,红利再投资
2025-01-24,007540,dividend,0.0,1.1584,0.7,0.0,红利再投资
2025-02-28,007540,dividend,0.0,1.1499,0.45,0.0,红利再投资
