date,product,type,amount,price,shares,fee,notes
2026-05-11,016452,buy,25.0,2.3002,10.86,0.03,南方纳斯达克100指数发起(QDII)A 每日定投
2026-05-12,016452,buy,25.0,2.28,10.95,0.03,南方纳斯达克100指数发起(QDII)A 每日定投
2026-05-13,016452,buy,25.0,2.3025,10.84,0.03,南方纳斯达克100指数发起(QDII)A 每日定投
2026-05-14,016452,buy,25.0,2.3173,10.78,0.03,南方纳斯达克100指数发起(QDII)A 每日定投
2026-05-15,016452,buy,25.0,2.2847,10.93,0.03,南方纳斯达克100指数发起(QDII)A 每日定投
2026-05-18,016452,buy,25.0,2.2762,10.97,0.03,南方纳斯达克100指数发起(QDII)A 每日定投
2026-05-19,016452,buy,25.0,2.2613,11.04,0.03,南方纳斯达克100指数发起(QDII)A 每日定投
2026-05-20,016452,buy,25.0,2.2978,10.87,0.03,南方纳斯达克100指数发起(QDII)A 每日定投
2026-05-21,016452,buy,25.0,2.3005,10.85,0.03,南方纳斯达克100指数发起(QDII)A 每日定投
2026-05-22,016452,buy,25.0,2.3106,10.81,0.03,南方纳斯达克100指数发起(QDII)A 每日定投
2026-05-25,016452,buy,25.0,2.3087,10.82,0.03,南方纳斯达克100指数发起(QDII)A 每日定投
2026-05-26,016452,buy,25.0,2.3464,10.64,0.03,南方纳斯达克100指数发起(QDII)A 每日定投
2026-05-27,016452,buy,25.0,2.3444,10.65,0.03,南方纳斯达克100指数发起(QDII)A 每日定投
2026-05-28,016452,buy,25.0,2.3617,10.57,0.03,南方纳斯达克100指数发起(QDII)A 每日定投
2026-05-29,016452,buy,25.0,2.3678,10.55,0.03,南方纳斯达克100指数发起(QDII)A 每日定投
2026-06-01,016452,buy,25.0,2.3803,10.49,0.03,南方纳斯达克100指数发起(QDII)A 每日定投
2026-06-02,016452,buy,25.0,2.3922,10.44,0.03,南方纳斯达克100指数发起(QDII)A 每日定投
2026-06-03,016452,buy,25.0,2.3858,10.47,0.03,南方纳斯达克100指数发起(QDII)A 每日定投
2026-06-04,016452,buy,25.0,2.3753,10.51,0.03,南方纳斯达克100指数发起(QDII)A 每日定投
2026-06-05,016452,buy,25.0,2.2661,11.02,0.03,南方纳斯达克100指数发起(QDII)A 每日定投
2026-06-08,016452,buy,25.0,2.3009,10.85,0.03,南方纳斯达克100指数发起(QDII)A 每日定投
2026-06-09,016452,buy,25.0,2.2737,10.98,0.03,南方纳斯达克100指数发起(QDII)A 每日定投
2026-06-10,016452,buy,25.0,2.2294,11.2,0.03,南方纳斯达克100指数发起(QDII)A 每日定投
2026-06-11,016452,buy,25.0,2.3009,10.85,0.03,南方纳斯达克100指数发起(QDII)A 每日定投
2026-06-12,016452,buy,25.0,2.3142,10.79,0.03,南方纳斯达克100指数发起(QDII)A 每日定投
2026-06-15,016452,buy,25.0,2.3804,10.49,0.03,南方纳斯达克100指数发起(QDII)A 每日定投
2026-06-16,016452,buy,25.0,2.3372,10.68,0.03,南方纳斯达克100指数发起(QDII)A 每日定投
2026-06-17,016452,buy,25.0,2.3144,10.79,0.03,南方纳斯达克100指数发起(QDII)A 每日定投
2026-06-18,016452,buy,25.0,2.3713,10.53,0.03,南方纳斯达克100指数发起(QDII)A 每日定投
2026-06-22,016452,buy,25.0,2.3672,10.55,0.03,南方纳斯达克100指数发起(QDII)A 每日定投
2026-06-23,016452,buy,25.0,2.2913,10.9,0.03,南方纳斯达克100指数发起(QDII)A 每日定投
2026-06-24,016452,buy,25.0,2.2823,10.94,0.03,南方纳斯达克100指数发起(QDII)A 每日定投
2026-06-25,016452,buy,25.0,2.2994,10.86,0.03,南方纳斯达克100指数发起(QDII)A 每日定投
2026-06-26,016452,buy,25.0,2.2731,10.98,0.03,南方纳斯达克100指数发起(QDII)A 每日定投
2026-06-29,016452,buy,25.0,2.3237,10.75,0.03,南方纳斯达克100指数发起(QDII)A 每日定投
2026-06-30,016452,buy,25.0,2.3595,10.58,0.03,南方纳斯达克100指数发起(QDII)A 每日定投
2026-07-01,016452,buy,25.0,2.3227,10.75,0.03,南方纳斯达克100指数发起(QDII)A 每日定投
2026-07-02,016452,buy,25.0,2.2865,10.92,0.03,南方纳斯达克100指数发起(QDII)A 每日定投
2026-07-03,016452,buy,25.0,2.2851,10.93,0.03,南方纳斯达克100指数发起(QDII)A 每日定投
2026-07-06,016452,buy,25.0,2.3128,10.8,0.03,南方纳斯达克100指数发起(QDII)A 每日定投
2026-07-07,016452,buy,25.0,2.2723,10.99,0.03,南方纳斯达克100指数发起(QDII)A 每日定投
2026-07-08,016452,buy,25.0,2.2794,10.95,0.03,南方纳斯达克100指数发起(QDII)A 每日定投
2026-07-09,016452,buy,25.0,2.3141,10.79,0.03,南方纳斯达克100指数发起(QDII)A 每日定投
2026-07-10,016452,buy,25.0,2.32,10.76,0.03,南方纳斯达克100指数发起(QDII)A 每日定投
2026-07-13,016452,buy,25.0,2.2771,10.97,0.03,南方纳斯达克100指数发起(QDII)A 每日定投
2026-07-14,016452,buy,25.0,2.3015,10.85,0.03,南方纳斯达克100指数发起(QDII)A 每日定投
2026-07-15,016452,buy,25.0,2.2927,10.89,0.03,南方纳斯达克100指数发起(QDII)A 每日定投
2026-07-17,016452,buy,25.0,2.2264,11.22,0.03,南方纳斯达克100指数发起(QDII)A 每日定投
2026-07-20,016452,buy,25.0,2.2277,11.21,0.03,南方纳斯达克100指数发起(QDII)A 每日定投
2026-07-21,016452,buy,25.0,2.268,11.01,0.03,南方纳斯达克100指数发起(QDII)A 每日定投
2026-07-22,016452,buy,25.0,2.2567,11.06,0.03,南方纳斯达克100指数发起(QDII)A 每日定投
