date,product,type,amount,price,shares,fee,notes
2026-02-13,008401,buy,50.0,2.6839,18.63,0.0,每周定投 大成标普500等权重指数(QDII)C
2026-02-20,008401,buy,50.0,2.6839,18.63,0.0,每周定投 大成标普500等权重指数(QDII)C
2026-02-27,008401,buy,50.0,2.7039,18.49,0.0,每周定投 大成标普500等权重指数(QDII)C
2026-03-06,008401,buy,25.0,2.6235,9.53,0.0,每周定投 大成标普500等权重指数(QDII)C
2026-03-13,008401,buy,25.0,2.5556,9.78,0.0,每周定投 大成标普500等权重指数(QDII)C
2026-03-20,008401,buy,25.0,2.5134,9.95,0.0,每周定投 大成标普500等权重指数(QDII)C
2026-03-27,008401,buy,25.0,2.5056,9.98,0.0,每周定投 大成标普500等权重指数(QDII)C
2026-04-03,008401,buy,25.0,2.5558,9.78,0.0,每周定投 大成标普500等权重指数(QDII)C
2026-04-10,008401,buy,25.0,2.5878,9.66,0.0,每周定投 大成标普500等权重指数(QDII)C
2026-04-17,008401,buy,25.0,2.6658,9.38,0.0,每周定投 大成标普500等权重指数(QDII)C
2026-04-24,008401,buy,25.0,2.654,9.42,0.0,每周定投 大成标普500等权重指数(QDII)C
2026-05-01,008401,buy,25.0,2.6674,9.37,0.0,每周定投 大成标普500等权重指数(QDII)C
2026-05-08,008401,buy,25.0,2.6732,9.35,0.0,每周定投 大成标普500等权重指数(QDII)C
2026-05-15,008401,buy,25.0,2.6378,9.48,0.0,每周定投 大成标普500等权重指数(QDII)C
2026-05-22,008401,buy,25.0,2.6963,9.27,0.0,每周定投 大成标普500等权重指数(QDII)C
2026-05-29,008401,buy,25.0,2.7104,9.22,0.0,每周定投 大成标普500等权重指数(QDII)C
2026-06-05,008401,buy,25.0,2.7001,9.26,0.0,每周定投 大成标普500等权重指数(QDII)C
2026-06-12,008401,buy,25.0,2.7461,9.1,0.0,每周定投 大成标普500等权重指数(QDII)C
2026-06-26,008401,buy,25.0,2.7726,9.02,0.0,每周定投 大成标普500等权重指数(QDII)C
2026-07-03,008401,buy,25.0,2.7954,8.94,0.0,每周定投 大成标普500等权重指数(QDII)C
