date,product,type,amount,price,shares,fee,notes
2024-04-17,001302,buy,50.0,1.602,31.17,0.07,前海开源金银珠宝混合A
2024-06-05,001302,buy,179.43,1.581,113.49,0.0,前海开源金银珠宝混合A
2024-06-14,001302,buy,50.0,1.546,32.3,0.07,前海开源金银珠宝混合A
2024-07-25,001302,buy,50.0,1.494,33.42,0.07,前海开源金银珠宝混合A
2024-09-18,001302,buy,100.0,1.362,73.31,0.15,前海开源金银珠宝混合A
2025-12-23,001302,sell,371.43,2.625,141.85,0.93,前海开源金银珠宝混合A
2025-12-23,001302,sell,185.71,2.625,70.92,0.46,前海开源金银珠宝混合A
2026-02-24,001302,buy,50.0,3.347,14.92,0.07,智能定投 前海开源金银珠宝混合A
2026-03-02,001302,buy,25.0,3.754,6.65,0.04,智能定投 前海开源金银珠宝混合A
2026-03-09,001302,buy,25.0,3.378,7.39,0.04,智能定投 前海开源金银珠宝混合A
2026-03-16,001302,buy,25.0,3.097,8.06,0.04,智能定投 前海开源金银珠宝混合A
2026-03-23,001302,buy,25.0,2.701,9.24,0.04,智能定投 前海开源金银珠宝混合A
2026-03-30,001302,buy,25.0,2.949,8.46,0.04,智能定投 前海开源金银珠宝混合A
2026-04-07,001302,buy,25.0,2.899,8.61,0.04,智能定投 前海开源金银珠宝混合A
2026-04-13,001302,buy,25.0,3.005,8.31,0.04,智能定投 前海开源金银珠宝混合A
2026-04-20,001302,buy,25.0,3.108,8.03,0.04,智能定投 前海开源金银珠宝混合A
2026-04-27,001302,buy,25.0,2.981,8.37,0.04,智能定投 前海开源金银珠宝混合A
2026-05-06,001302,buy,26.25,3.076,8.52,0.04,智能定投 前海开源金银珠宝混合A
2026-05-11,001302,buy,25.0,3.151,7.92,0.04,智能定投 前海开源金银珠宝混合A
2026-05-18,001302,buy,27.5,2.809,9.78,0.04,智能定投 前海开源金银珠宝混合A
2026-05-25,001302,buy,35.0,2.768,12.63,0.05,智能定投 前海开源金银珠宝混合A
2026-06-01,001302,buy,35.0,2.616,13.38,0.0,智能定投 前海开源金银珠宝混合A
