date,product,type,amount,price,shares,fee,notes
2026-05-13,010786,buy,50.0,1.3595,36.78,0.0,每周定投 博时创业板指数C
2026-05-20,010786,buy,60.0,1.323,45.35,0.0,每周定投 博时创业板指数C
2026-05-27,010786,buy,50.0,1.3626,36.69,0.0,每周定投 博时创业板指数C
2026-06-03,010786,buy,50.0,1.3873,36.04,0.0,每周定投 博时创业板指数C
2026-06-10,010786,buy,55.0,1.3033,42.2,0.0,每周定投 博时创业板指数C
2026-06-17,010786,buy,55.0,1.403,39.2,0.0,每周定投 博时创业板指数C
2026-06-24,010786,buy,55.0,1.4306,38.45,0.0,每周定投 博时创业板指数C
2026-07-01,010786,buy,55.0,1.4336,38.36,0.0,每周定投 博时创业板指数C
2026-07-08,010786,buy,55.0,1.3016,42.26,0.0,每周定投 博时创业板指数C
