date,product,type,amount,price,shares,fee,notes
2020-02-22,002611,buy,10.0,1.2952,7.72,0.0,博时黄金ETF联接C
2020-03-23,002611,buy,5.0,1.168,4.28,0.0,博时黄金ETF联接C
2020-04-09,002611,sell,7.27,1.2754,5.7,0.0,博时黄金ETF联接C
2024-04-18,002611,buy,200.0,1.852,107.99,0.0,博时黄金ETF联接C
2026-02-13,002611,buy,10000.0,3.4845,2869.85,0.0,博时黄金ETF联接C
2026-03-23,002611,buy,5000.0,2.9217,1711.33,0.0,博时黄金ETF联接C
2026-03-30,002611,sell,3725.83,3.174,1173.86,0.0,博时黄金ETF联接C
2026-04-01,002611,sell,5801.9,3.295,1760.82,0.0,博时黄金ETF联接C
2026-04-08,002611,sell,1465.79,3.3327,440.21,1.3,博时黄金ETF联接C
2026-04-16,002611,sell,600.26,3.3274,180.58,0.6,博时黄金ETF联接C
2026-05-28,002611,buy,2500.0,3.0243,826.64,0.0,博时黄金ETF联接C
2026-06-08,002611,buy,3000.0,,,,博时黄金ETF联接C 大跌加仓
