date,product,type,amount,price,shares,fee,notes
2026-05-14,110020,buy,25.0,1.9772,12.63,0.03,易方达沪深300ETF联接A 每日定投
2026-05-15,110020,buy,25.0,1.956,12.77,0.03,易方达沪深300ETF联接A 每日定投
2026-05-18,110020,buy,25.0,1.946,12.83,0.03,易方达沪深300ETF联接A 每日定投
2026-05-19,110020,buy,25.0,1.9535,12.78,0.03,易方达沪深300ETF联接A 每日定投
2026-05-20,110020,buy,25.0,1.9531,12.78,0.03,易方达沪深300ETF联接A 每日定投
2026-05-21,110020,buy,25.0,1.9276,12.95,0.03,易方达沪深300ETF联接A 每日定投
2026-05-22,110020,buy,25.0,1.951,12.8,0.03,易方达沪深300ETF联接A 每日定投
2026-05-25,110020,buy,25.0,1.9801,12.61,0.03,易方达沪深300ETF联接A 每日定投
2026-05-26,110020,buy,25.0,1.9901,12.55,0.03,易方达沪深300ETF联接A 每日定投
2026-05-27,110020,buy,25.0,1.9758,12.64,0.03,易方达沪深300ETF联接A 每日定投
2026-05-28,110020,buy,25.0,1.9783,12.62,0.03,易方达沪深300ETF联接A 每日定投
2026-05-29,110020,buy,25.0,1.9702,12.67,0.03,易方达沪深300ETF联接A 每日定投
2026-06-01,110020,buy,25.0,1.952,12.79,0.03,易方达沪深300ETF联接A 每日定投
2026-06-02,110020,buy,25.0,1.979,12.62,0.03,易方达沪深300ETF联接A 每日定投
2026-06-03,110020,buy,25.0,1.9883,12.56,0.03,易方达沪深300ETF联接A 每日定投
2026-06-04,110020,buy,25.0,1.9755,12.64,0.03,易方达沪深300ETF联接A 每日定投
2026-06-05,110020,buy,25.0,1.9427,12.85,0.03,易方达沪深300ETF联接A 每日定投
2026-06-08,110020,buy,25.0,1.9033,13.12,0.03,易方达沪深300ETF联接A 每日定投
2026-06-09,110020,buy,25.0,1.937,12.89,0.03,易方达沪深300ETF联接A 每日定投
2026-06-10,110020,buy,25.0,1.9188,13.01,0.03,易方达沪深300ETF联接A 每日定投
2026-06-11,110020,buy,25.0,1.9092,13.08,0.03,易方达沪深300ETF联接A 每日定投
2026-06-12,110020,buy,25.0,1.9302,12.94,0.03,易方达沪深300ETF联接A 每日定投
2026-06-15,110020,buy,25.0,1.974,12.65,0.03,易方达沪深300ETF联接A 每日定投
2026-06-16,110020,buy,25.0,1.9714,12.67,0.03,易方达沪深300ETF联接A 每日定投
2026-06-17,110020,buy,25.0,1.9892,12.55,0.03,易方达沪深300ETF联接A 每日定投
2026-06-18,110020,buy,25.0,1.994,12.52,0.03,易方达沪深300ETF联接A 每日定投
2026-06-22,110020,buy,25.0,2.0394,12.24,0.03,易方达沪深300ETF联接A 每日定投
2026-06-23,110020,buy,25.0,1.9856,12.58,0.03,易方达沪深300ETF联接A 每日定投
2026-06-24,110020,buy,25.0,1.9949,12.52,0.03,易方达沪深300ETF联接A 每日定投
2026-06-25,110020,buy,25.0,2.0244,12.33,0.03,易方达沪深300ETF联接A 每日定投
2026-06-26,110020,buy,25.0,1.9688,12.68,0.03,易方达沪深300ETF联接A 每日定投
2026-06-29,110020,buy,25.0,1.9925,12.53,0.03,易方达沪深300ETF联接A 每日定投
2026-06-30,110020,buy,25.0,2.0132,12.4,0.03,易方达沪深300ETF联接A 每日定投
2026-07-01,110020,buy,25.0,2.0053,12.45,0.03,易方达沪深300ETF联接A 每日定投
2026-07-02,110020,buy,25.0,1.9498,12.81,0.03,易方达沪深300ETF联接A 每日定投
2026-07-03,110020,buy,25.0,1.9617,12.73,0.03,易方达沪深300ETF联接A 每日定投
2026-07-06,110020,buy,25.0,1.9612,12.73,0.03,易方达沪深300ETF联接A 每日定投
2026-07-07,110020,buy,25.0,1.9426,12.85,0.03,易方达沪深300ETF联接A 每日定投
2026-07-08,110020,buy,25.0,1.9292,12.94,0.03,易方达沪深300ETF联接A 每日定投
2026-07-09,110020,buy,25.0,1.9753,12.64,0.03,易方达沪深300ETF联接A 每日定投
2026-07-10,110020,buy,25.0,1.9415,12.86,0.03,易方达沪深300ETF联接A 每日定投
2026-07-13,110020,buy,25.0,1.9097,13.08,0.03,易方达沪深300ETF联接A 每日定投
2026-07-14,110020,buy,25.0,1.9482,12.82,0.03,易方达沪深300ETF联接A 每日定投
2026-07-15,110020,buy,25.0,1.9451,12.84,0.03,易方达沪深300ETF联接A 每日定投
2026-07-17,110020,buy,25.0,1.8505,13.49,0.03,易方达沪深300ETF联接A 每日定投
2026-07-20,110020,buy,25.0,1.876,13.31,0.03,易方达沪深300ETF联接A 每日定投
2026-07-21,110020,buy,25.0,1.9302,12.94,0.03,易方达沪深300ETF联接A 每日定投
2026-07-22,110020,buy,25.0,1.9223,12.99,0.03,易方达沪深300ETF联接A 每日定投
